REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
418773;16757674000175;ALUVES ADMINISTRADORA DE  BENEFICIOS LTDA;ALUVES BENEFICIOS;Administradora de Benefícios;AVENIDA DAS AMERICAS;500;BLOCO 4 SALA 313;BARRA DA TIJUCA;Rio de Janeiro;RJ;22640100;21;35531692;;leonardo@unimedicasaude.com;LEANDRO DA SILVEIRA SANTOS;SÓCIO-ADMINISTRADOR;6;2013-01-11
424234;56307500000125;AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA;AMAZIL   ;Medicina de Grupo;ESTRADA DO TINDIBA;1630;;TAQUARA;Rio de Janeiro;RJ;22740362;21;999434833;;leonardo@unimedicasaude.com;RODRIGO BARBOSA VILHENA ;SÓCIO REPRESENTANTE;;2024-12-02
424277;57395677000193;AMÉLIA OPERADORA DE PLANOS DE SAUDE S/A.;;Medicina de Grupo;AVENIDA RIO BRANCO;1;SALA 1605;CENTRO ;Rio de Janeiro;RJ;20090907;;;;leonardo@unimedicasaude.com;PEDRO HENRIQUE DOS SANTOS LIMA;REPRESENTANTE JUNTO À ANS;;2025-01-13
424366;55081563000143;AP ADMINISTRAÇÃO DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA;AP ADMINISTRAÇÃO DE BENEFICIOS SOCIEDADE SIMPLES LIMITADA;Administradora de Benefícios;Rua Sete de Abril;277.0;conjuntos 11 e 12;Centro;São Paulo;SP;01043000;11;33506000;;contato@apbeneficios.com.br;MIGUEL NOEL MEIRELLES;administrador;;2025-03-24
422932;35808498000106;APLUS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;AVENIDA PRESIDENTE VARGAS;534;SALA 1501;CENTRO;Rio de Janeiro;RJ;20071000;;;;contato@aplusadministradora.com.br;GABRIEL SILVA RODRIGUES;SOCIO ADMINISTRADOR/REPRE;;2021-07-29
421693;30902499000193;AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA;AQQUER ADMINISTRADORA;Administradora de Benefícios;Rua Barão de Melgaço;2754;Sala 406;Centro;Cuiabá;MT;78020800;65;36244416;;aqquer@aqquer.com.br;GABRIEL DUTRA;REPRESENTANTE LEGAL;;2019-05-24
416070;17469701000177;ARCELORMITTAL BRASIL S/A;ARCELORMITTAL BRASIL S/A;Autogestão;AV. CARANDAI;1115;;FUNCIONARIOS;Belo Horizonte;MG;30130915;27;33481463;;beneficios@arcelormittal.com.br;PATRICIA GARIGLIO DAHER RAYA;GERENTE DE BENEFICIOS;6;2007-05-21
352152;00743507000135;ARM PLANOS ODONTOLÓGICOS LTDA.;ARM ODONTOLOGIA;Odontologia de Grupo;RUA LOEFGREEN ;1291;CONJUNTO 62;VILA CLEMENTINO;São Paulo;SP;04040031;11;35155400;35155400;alexandre@armodonto.onmicrosoft.com;ALEXANDRE DE SOUZA MARTINELLI;DIRETOR;4;1998-12-21
424340;57267292000140;ARTYODONTO BRASIL  PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA;ARTYODONTO BRASIL;Odontologia de Grupo;AVENIDA PEDRO PAES DE AZEVEDO;615;LOJA 03;GRAGERU;Aracaju;SE;49025570;79;991300040;;artyodontobrasil@artyodontobrasil.com.br;HÉLCIO CASTRO PEREIRA;DIRETOR ADMINISTRATIVO E FINANCEIRO;;2025-02-17
417769;12080518000161;ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA;ASSISTE ;Administradora de Benefícios;RUA JOÃO HIPÓLITO DE AZEVEDO;18;SALA 3 - TÉRREO;CENTRO;Conceição do Jacuípe;BA;44245000;71;30381100;;bruno@assisteadministradora.com.br;BRUNO EDELWEISS;SÓCIO-ADMINISTRADOR;5;2010-12-20
365297;01872588000136;ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA;RISO PLANO ODONTOLOGICO;Odontologia de Grupo;AVENIDA UNIVERSIDADE;28;QUADRA 03;COHAFUMA;São Luís;MA;65070650;;;;planoriso@planoriso.com.br;MARCIA CHRISTINA VÉRAS BARBOSA;DIRETORA TÉCNICA;6;1998-12-22
423807;92685833000151;ASSOCIAÇÃO HOSPITALAR MOINHOS DE VENTO;HOSPITAL MOINHOS DE VENTO;Autogestão;Rua Ramiro Barcelos;910;;Moinhos de Vento;Porto Alegre;RS;90035001;51;33143545;;marcelo.rosa@hmv.org.br;MARCO ANTÔNIO DE MODESTI;CFO;;2023-10-30
420794;23779545000143;ASSOREL BRASIL ADMINISTRADORA DE BENEFICIOS LTDA - EPP;ASSOREL BRASIL;Administradora de Benefícios;AVENIDA HISTORIADOR RUBENS DE MENDONÇA;1856;14º ANDAR, SALA 1404;BOSQUE DA SAUDE;Cuiabá;MT;78050000;65;30272470;;carolline@assorelbrasil.com.br;CAROLLINE BRONZEADO DE OLIVEIRA MORILHAS;SÓCIA ADMINISTRADORA;5;2017-01-26
336874;15245079000198;ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS;ATEMDE ODONTO;Odontologia de Grupo;RUA RUI BARBOSA;120;ED. REAL SALA 202;CENTRO;Simões Filho;BA;43700000;71;34832700;34832711;contabilidade@atemde.com.br;ANTÔNIO CLEITON VIEIRA GURGEL;DIRETOR PRESIDENTE E ADMINISTR;5;1998-12-17
424714;62383533000157;ATIVUS LIFE ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA DOUTOR PAULO CESAR ;203;APT 904;SANTAROSA;Niterói;RJ;24240000;21;984630886;;MIGUEL@ATIVUSLIFE.COM.BR;MIGUEL GOMES SILVA;SOCIO ADMINISTRADOR;;2025-12-15
423734;50507787000150;AVANT ADMINISTRADORA DE BENEFICIOS LTDA;AVANT;Administradora de Benefícios;RUA DA QUITANDA;60;07 ANDAR;CENTRO;Rio de Janeiro;RJ;20011030;08;00580340;;ana.gatinho@avantadministradora.com.br;ANA CAROLINA GATINHO SOARES;SÓCIO ADMINISTRADOR;;2023-08-28
424005;51124739000146;AVANTI ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA EPP;AVANTI VIDA E SAÚDE;Administradora de Benefícios;RUA DOUTOR CELESTINO;122;616;CENTRO;Niterói;RJ;24020091;61;99640197;;aribeiro77@yahoo.com.br;ARTHUR RIBEIRO COUTINHO GONÇALVES DA SILVA;SOCIO ADMINISTRADOR ;;2024-06-24
418013;12903235000172;BACCS ADMINISTRADORA DE BENEFÍCIOS LTDA;BACCS;Administradora de Benefícios;AVENIDA DOM SEVERINO;2074;EDIFíCIO JOSé CARVALHO - SALA 104;FáTIMA;Teresina;PI;64049375;21;3231159088324692;;JOHNNY@IBOALAN.COM.BR;ANTÔNIO CARLOS ANTUNES BASTOS;SÓCIO-ADMINISTRADOR;3;2011-04-20
422991;41215349000128;BAUEN LIFE LTDA.;BAUEN LIFE;Administradora de Benefícios;RUA SÃO PAULO;41;SALA 1904 B;VILA BELMIRO;Santos;SP;11075330;13;974210807;;ricardo@valdivia.com.br;JOSE RICARDO VALDIVIA JUNIOR;Sócio Administrador;;2021-08-26
419125;07611953000135;BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.;BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.;Administradora de Benefícios;RUA DO CARMO;8;4 ANDAR - PARTE;CENTRO;Rio de Janeiro;RJ;20011020;21;22124150;22206917;FVIGNOLI@B2SAUDE.COM.BR;ROBERTO FRANCISCO VIGNOLI NUNES;DIRETOR PRESIDENTE;;2013-10-03
421332;29138326000161;BEM ADMINISTRADORAS LTDA;;Administradora de Benefícios;RUA DA QUITANDA;50;SALAS 2201, 2202, 2203;CENTRO;Rio de Janeiro;RJ;20011030;;;;elaine.almeida@bembeneficios.com.br;ELAINE DE ALMEIDA ALVES;SÓCIA;6;2018-07-19
420697;25313773000159;BEM ESTAR ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;RUA FELIPE SCHMIDT;679;;CENTRO;Florianópolis;SC;88010000;;;;CONTATO@BEMESTARADM.COM.BR;RAQUEL VITÓRIA MATOS;ADMINISTRADORA;3;2017-01-13
417874;08192597000125;BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.;BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.;Odontologia de Grupo;RUA JOSEPHINA MANDOTTI;88;;JARDIM MAIA;Guarulhos;SP;07115080;11;23583368;;administrativo@bemmaisodonto.com.br;GILBERTO MAIDA MELLACE JUNIOR;REPRESENTANTE;6;2011-02-03
419869;12380335000161;BENEFIT ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios;AV. ENGENHEIRO LUIZ CARLOS BERRINI;105;10 º ANDAR, SALA 102 B, TORRE 4;CIDADE MONÇÕES;São Paulo;SP;04571010;11;30544799;;rogerio.reis@howdenharmonia.com.br;ROGÉRIO BRITO REIS;ADMINISTRADOR;2;2015-08-05
423891;50436148000141;BENEFIT BENEFICIOS LTDA;******;Administradora de Benefícios;RUA A PROJETADA;11;***;FERNANDES PINHEIRO;Comendador Levy Gasparian;RJ;25870000;24;22521407;;vanicebastos@gmail.com;JANAINA LOURENCO ESTEVAO;ASSESSORA;;2024-07-30
423467;46092428000102;BENET ADMINISTRAÇÃO DE BENEFÍCIOS LTDA;BENET ADMINISTRAÇÃO DE BENEFÍCIOS;Administradora de Benefícios;RUA DOM PEDRO II;1220.0;101 e 102;HIGIENÓPOLIS;Porto Alegre;RS;90550141;51;981192900;;mauricio@beneficio.com.br;MAURICIO JUNQUEIRA;SOCIO - ADMINISTRADOR;;2023-01-30
421324;29179109000110;BENEVITAE ADMINISTRADORA DE BENEFÍCIOS LTDA;BENEVITAE;Administradora de Benefícios;AVENIDA CALAMA;5175;SALA 205;FLODOALDO PONTES PINTO;Porto Velho;RO;76820595;69;999633038;;fagnerferreira@benevitae.com.br;FAGNER FERREIRA GONÇALVES;SÓCIO-ADMINISTRADOR;6;2018-07-19
417718;11073058000181;BENEVIX ADMINISTRADORA DE BENEFÍCIOS LTDA;BENEVIX ADMINISTRADORA;Administradora de Benefícios;AVENIDA DOUTOR OLÍVIO LIRA;353;18º ANDAR - SALA 1801 - SHOPPING PRAIA D;PRAIA DA COSTA;Vila Velha;ES;29101260;;;;juridico@benevix.com.br;FLÁVIO NASCIMENTO COSSETTI;REPRESENTANTE;1;2010-12-03
420042;13852392000169;BEST LIFE ASSESSORIA NA GESTÃO E ADMINISTRADORA DE BENEFÍCIOS LTDA;BEST LIFE BENEFÍCIOS;Administradora de Benefícios;R. PROF. JOSÉ HORÁCIO MEIRELLES TEIXEIRA;975;CONJUNTO 41-PARTE;MORUMBI;São Paulo;SP;05630130;11;37432350;;EP@GRUPOEPEA.COM.BR;ERNANI PARISE;ADMINISTRADOR;6;2016-02-03
424552;60233601000176;BKR SAÚDE ADMINISTRADORA DE BENEFÍCIOS LTDA;BKR SAÚDE ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;PRAÇA PRESIDENTE GETÚLIO VARGAS;35;SALA 119 e 120 - EDIF. JUSMAR;CENTRO;Vitória;ES;29010350;27;34421750;;adm@bkrsaude.com.br;SIMÔNIA RIBEIRO MACHADO;ADMINISTRADOR;;2025-06-30
424218;56980711000124;BOA SAUDE ADMNISTRADORA DE BENEFICIOS DE SAUDE LTDA;BOA SAUDE;Administradora de Benefícios;RUA SÃO LUIZ;100;SALA 04;JARDIM EUROPA;São José do Rio Preto;SP;15014470;17;996092771;;julio_cbj@hotmail.com;JULIO CEZAR BACHI JARDIM;SOCIO ADMINISTRADOR;;2024-11-25
424706;62090465000138;BONNA SAUDE LTDA;BONNA SAUDE ;Medicina de Grupo;AV IPIRANGA;303;ANDAR 313 - 7 ANDAR;REPUBLICA;São Paulo;SP;01046010;11;970794640;;MURILOAZALI@VILAVELHA.COM.BR;MURILO APARECIDO AZALI;SOCIO ADMINISTRADOR;;2025-10-28
419613;14838567000146;BRAZIL DENTAL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;BRAZIL DENTAL;Odontologia de Grupo;RUA DA CONSOLAÇÃO;1681;3º ANDAR - CONJUNTO 31;CONSOLAÇÃO;São Paulo;SP;01301100;11;30176078;;cpalmeira@prevident.com.br;JOSE HERMICESAR BRILHANTE PALMEIRA;ADMINISTRADOR;4;2014-11-13
417238;01838723000127;BRF S/A;BRF - BRASIL FOODS S/A;Autogestão;RUA JORGE TZACHEL;475;;FAZENDA;Itajaí;SC;88301600;41;34017193;;ouvidoria.autogestao@brf.com;ADRIANA INÊS PIZZOLATO SAUER;REPRESENTANTE;4;2010-04-09
424536;58246775000121;BRS ADMINISTRADORA DE SAUDE LTDA;BRS SAUDE;Administradora de Benefícios;AVENIDA PRESIDENTE GETÚLIO VARGAS;445;;POPULAR;Cuiabá;MT;78045490;11;999439899;;paulobrustolin@gmail.com;PAULO RICARDO BRUSTOLIN DA SILVA;ADMINISTRADOR;;2025-07-08
423530;46293680000180;BWG ADMINISTRADORA DE BENEFICIOS LTDA.;;Administradora de Benefícios;RUA CORONEL JOSE EUSEBIO;95;CONJUNTO 13;HIGIENOPOLIS;São Paulo;SP;01239030;11;56702100;;prossi@bwg.com.br;PRISCILA ROSSI;SOCIO ADMINISTRADOR;;2023-03-06
424021;50805425000146;CACSS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA DA ASSEMBLEIA;10;SALA 3811;CENTRO;Rio de Janeiro;RJ;20011000;21;960178859;;thiago@unimedicasaude.com;ANTONIO CARLOS ANTUNES BASTOS;SOCIO ADMINISTRADOR;;2024-05-27
312924;00360305000104;CAIXA ECONÔMICA FEDERAL;CAIXA;Autogestão;SAS - Q. 05 - LOTES 9/10 - 6º ANDAR;05;ED. SEDE II;ASA SUL;Brasília;DF;70070050;61;35453773;;GESAD@caixa.gov.br;LUIS ARTUR SCHERER;GERENTE NACIONAL;1;1998-12-21
417785;04566215000125;CAMPEÃ ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios;RUA DESEMBARGADOR WESTPHALEN;2151;;REBOUÇAS;Curitiba;PR;80220030;41;30286918;;WILLIAM@GRUPOVITAL.COM.BR;WILLIAM AFONSO ALVES;SOCIO ADMINISTRADOR;3;2010-12-20
419265;17634722000109;CAPITAL ADMINISTRADORA DE BENEFÍCIOS LTDA.;CAPITAL ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;SCS QUADRA 05 BLOCO C;LJ 168;PARTE A1 GALERIA NOVA OUVIDOR;ASA SUL;Brasília;DF;70305918;61;30419594;;XX@XX.XX;NEY BRANDÃO;SÓCIO-ADMINISTRADOR;4;2014-01-23
417165;09114713000150;CASE - CENTRAL DE ADMINISTRAÇÃO DE PLANO DE SAÚDE LTDA;CASE SAÚDE;Administradora de Benefícios;AVENIDA RIO BRANCO;81;16º ANDAR;CENTRO;Rio de Janeiro;RJ;20040004;21;32169292;32169292;ana.maria.souza@grupocase.com.br;RAFAEL SAMPAIO DA MOTTA;REPRESENTANTE;5;2010-02-12
423637;49884840000153;CASUFES SAÚDE ADMINISTRADORA DE BENEFÍCIOS;CASUFES SAÚDE;Administradora de Benefícios;Avenida Fernando Ferrari;1080;Sala 402 Setor Torre Norte ;Mata da Praia;Vitória;ES;29066380;27;33150017;;casufes@casufes.org.br;VALCERLI GERMANO GAICK;Presidente Conselho Diret;;2023-08-21
415952;64170517000101;CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP;CDA ASSISTENCIA ODONTOLOGICA LTDA-EPP;Odontologia de Grupo;RUA BARÃO DE JAGUARA;655;SALA 1006, 1007, 1008 E 1010;CENTRO;Campinas;SP;13015001;19;32346437;32311588;cdacampinas@odontocda.com.br;ANTONIO MARCIO RODRIGUES;DIRETOR;5;2007-03-08
339270;42278796000199;CELULOSE NIPO-BRASILEIRA S/A - CENIBRA;CENIBRA;Autogestão;RODOVIA BR 381 - KM;172;CAIXA POSTAL 100 - AGÊNCIA CENIBRA;PERPETUO SOCORRO;Belo Oriente;MG;35196972;31;38295026;38295218;comunicacaosocial@cenibra.com.br;FERNANDO SÉRGIO DA MATA BOREL;GERENTE DEPARTAMENTO RECURSOS ;3;1999-01-12
422436;04940191000122;CENIBRA LOGÍSTICA LTDA;CENIBRA LOG;Autogestão;RODOVIA BR 381 KM 172;S/N;CAIXA POSTAL  101;PERPÉTUO SOCORRO;Belo Oriente;MG;35162972;31;38295415;;beneficioscnblog@cenibra.com.br;WELINGTON JUNIOR DE OLIVEIRA;Gerente Financeiro e Admi;;2020-10-22
417092;10540020000109;CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE LTDA;;Medicina de Grupo;AV. CARNEIRO DA CUNHA;55;ANDAR 1º;TORRE;João Pessoa;PB;58040240;83;30482500;30482750;contato@opsnortenordeste.com.br;EVALDO ALVES TORQUATO;DIRETOR PRESIDENTE;4;2009-09-09
314757;37161015000141;CENTRO ODONTOLOGICO INTEGRADO LTDA;INTERDENTAL;Odontologia de Grupo;SRTVS, QUADRA 701-CONJ. E ;BLOCOS 2/4;SALAS 207/208 E 209;ASA SUL;Brasília;DF;70340902;61;33212221;613212221;angela@interdentaldf.com.br;ANGELA THAISE FREIRE FERREIRA;SÓCIO-ADMINISTRADORA;4;1998-12-29
401871;64928609000108;CEORP - CENTRO ODONTOLOGICO LTDA;CEORP;Odontologia de Grupo;RUA DUQUE DE CAXIAS;1453;;CENTRO;Ribeirão Preto;SP;14015020;16;36105362;36105362;nathaliabiaginimachado@outlook.com;NATHALIA BIAGINI SÁ MOSNA MACHADO;ADMINISTRADOR;6;1999-03-11
324892;43776491000170;CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO;CETESB;Autogestão;AV. PROFESSOR FREDERICO HERMANN JUNIOR;345;;ALTO DOS PINHEIROS;São Paulo;SP;05459900;11;31333451;;ar_cetesb@sp.gov.br;THALES ANDRES CARRA;GERENTE DO DEPTO. DE GESTÃO RH;2;1998-12-29
423963;40432544000147;CLARO S.A;CLARO;Autogestão;R HENRI DUNANT;780;TORRE A E TORRE B;SANTO AMARO;São Paulo;SP;04709110;;;;planoamap@planoamap.com.br;ALBERT CARVALHO JUNQUEIRA;Representante da Empresa ;;2024-04-09
419435;20088388000131;CLASSE ADMINISTRADORA DE BENEFÍCIOS LTDA - ME;CLASSE ADMINISTRADORA;Administradora de Benefícios;SBS - QD 02 - BLOCO A;01;SL 205 -  ED. CASA DE SÃO PAULO;ASA SUL;Brasília;DF;70070120;61;38791163;38791164;CANALANS@CLASSEADMINISTRADORA.COM.BR;FRANCISCO NOGUEIRA DA SILVA;REPRESENTANTE;4;2014-08-04
423327;43383373000100;CLICSAUDE ADMINISTRADORA DE BENEFICIOS LTDA;CLICSAUDE ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;RUA GUSTAVO AMBRUST;36;CONJ 02;NOVA CAMPINAS;Campinas;SP;13092106;19;971051974;;luciano@clicsaude.adm.br;LUCIANO ANTONIO BUZO;Diretor;;2022-07-14
410071;03447952000146;CLINICA ODONTOLOGICA ODONTOPLAN LTDA;ODONTOPLAN;Odontologia de Grupo;RUA BENTO GONÇALVES;1731;SALA 112;BOA VISTA;Novo Hamburgo;RS;93410395;;;30366610;ana@clinicaodontoplan.com.br;ANA GICIELI FRACALOSSI;SÓCIA ADMINISTRADORA;6;1999-12-07
417891;09585273000110;CLUBE DE BENEFICIOS PARA COOP., ASS., CONS., SIND. E SEGUROS - CBCACSS;;Administradora de Benefícios;RUA DA ASSEMBLEIA;10;SALA 3811 - A;CENTRO;Rio de Janeiro;RJ;20011000;21;84282619;;CBCACSS@CBCACSS.COM.BR;ANTONIO CARLOS ANTUNES BASTOS;DIRETOR PRESIDENTE;3;2011-02-22
422461;38046343000160;CLUBE SILVER ADMINISTRADORA DE PLANOS DE SAUDE LTDA;AMESAÚDE;Administradora de Benefícios;RUA QUINZE DE NOVEMBRO;228;AP 304;CENTRO;Niterói;RJ;24020125;21;35531692;;carlaoliveira1986@gmail.com;CARLA NAZARÉ OLIVEIRA DOS SANTOS;REPRESENTANTE LEGAL;;2021-02-09
419796;14372148000161;COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA;CODEBA;Autogestão;AV. DA FRANçA;1551;ESTAçãO MARITIMA VISC. DE CAIRU;COMERCIO;Salvador;BA;40010000;71;33201294;33201302;pscard@pscard.srv.br;ANTONIO JOSE RODRIGUEZ DE MATTOS GOBBO ;DIRETOR ADMINISTRATIVO/ FINANC;;2015-06-26
330051;47902648000117;COMPANHIA DE ENGENHARIA DE TRAFEGO - CET;;Autogestão;RUA BARÃO DE ITAPETININGA;18;;CENTRO;São Paulo;SP;05425904;11;30302378;;dcp@cetsp.com.br;LEANDRO DO NASCIMENTO ANDRADE;SUPERVISOR DE DEPARTAMENTO;;1998-12-28
416509;27316538000166;COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA;CODESA;Autogestão;AVENIDA GETULIO VARGAS;556;;CENTRO;Vitória;ES;29010945;27;31327300;;autogestao@vports.com.br;SAMUEL GONCALVES DE AGUIAR RIBEIRO;Supervisor de Am de Pessoal;5;2008-01-22
392405;28151363000147;COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO;CESAN;Autogestão;AV. GOVERNADOR BLEY;186;3º PAV;CENTRO;Vitória;ES;29010150;27;21275000;21275353;amscesan@cesan.com.br;GELCIMAR LOPES DE OLIVEIRA;GESTOR DA DIVISAO DE DEPARTAMENTO PESSOA;1;1998-12-28
