REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
423432;47325263000134;ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE;ADUFEPE SAÚDE;Autogestão;Rua Bom Pastor;430.0;Sala 11;Iputinga;Recife;PE;50670260;81;86903080;;adufepesaude@gmail.com;JOSÉ CRISTOVAM MARTINS VIEIRA ;presidente;;2022-12-27
409634;73565319000138;ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PRO-SAUDE;Medicina de Grupo;RUA SENADOR PINHEIRO MACHADO;446;;CENTRO;Ponta Grossa;PR;84040310;;;;administrador@prosaudeuepg.com.br;JEANE SILVANE ECKERT;REPRESENTANTE;6;1999-11-05
360783;59007799000190;ASSOCIACAO DE SAUDE HOLAMBRA;ASSOCIAÇÃO DE SAÚDE HOLAMBRA;Medicina de Grupo;ALAMEDA MAURÍCIO DE NASSAU;241;CX  POSTAL: 130;CENTRO;Holambra;SP;13825000;19;38022049;38022049;ash@holnet.com.br;MARGARETA MARIA WOPEREIS GROOT;PRESIDENTE;5;1999-02-03
317632;62635990000191;ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP;Autogestão;AV. BRIGADEIRO LUIZ ANTONIO;4843;;JARDIM PAULISTA;São Paulo;SP;01401002;;;;ans@afresp.org.br;ALEXANDRE LANIA GONCALVES;2ª TESOUREIRO;2;1998-12-16
343129;13100755000100;ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA;APUB SAÚDE;Autogestão;AV. ANTONIO CARLOS MAGALHAES;3213;EDIFÍCIO GOLDEN PLAZA,  SALA 405 a 408;PARQUE BELA VISTA;Salvador;BA;40280000;71;21039200;32473381;apubsaude@apubsaude.com.br;SILVIA MARIA LEITE DE ALMEIDA;PRESIDENTE DO CONSELHO DELIBERATIVO ;5;1998-12-28
420093;13083167000105;ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;ASSEM;Autogestão;AV DOUTOR CARLOS RODRIGUES DA CRUZ;401;;CAPUCHO;Aracaju;SE;49081015;79;32342692;32342692;assem@assemse.com.br;ELIAS FERNANDO GOES FELIPE;PRESIDENTE;6;2016-04-14
406635;71565659000133;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;APAS/ITAPETININGA;Autogestão;RUA DR. COUTINHO;535;;CENTRO;Itapetininga;SP;18200358;15;34721800;;contato@apasitapetininga.com.br;CARLOS ROGÉRIO DE MORAIS;REPRESENTANTE;5;1999-07-21
410608;00200720000109;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);APAS - PRESIDENTE PRUDENTE;Autogestão;RUA PIONEIRO JOSÉ LORENCETE;420;;JARDIM BONGIOVANI;Presidente Prudente;SP;19050350;;;;apas@apasprudente.com.br;PATRÍCIA ELAINE MACHADO;DIRETORA-PRESIDENTE;5;2000-01-27
417599;92741016000173;ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL;VERTE SAUDE - AFPERGS;Filantropia;RUA DOS ANDRADAS;846;;CENTRO;Porto Alegre;RS;90020006;51;32841500;;najara.bandeira@afpergs.com.br;ROMEU FUCHS;Diretor Presidente;4;2010-09-28
333867;89761670000134;ASSOCIAÇAO UNISAUDE MARAU;UNISAÚDE;Medicina de Grupo;AVENIDA JULIO BORELLA;1240;CONJUNTO 406;CENTRO;Marau;RS;99150000;54;33422179;33428002;gerencia@unisaudemarau.com.br;RUDIMAR LUIS RODEGHERO;DIRETOR GERAL;6;1998-12-31
406554;83367342000171;ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE;PROASA SAÚDE;Filantropia;RODOVIA MARIO COVAS;400;;COQUEIRO;Ananindeua;PA;67110000;91;32144500;32451585;clairton@hab.org.br;JACKSON DOUGLAS DA SILVA FREIRE;GERENTE;5;1999-07-21
411752;03849449000117;ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE;CRUZ AZUL SAÚDE;Medicina de Grupo;RUA ALBUQUERQUE MARANHÃO;72;;CAMBUCI;São Paulo;SP;01540020;11;33885000;33885010;diretoria@maisazulsaude.com.br;EDGAR CUCCOLO;REPRESENTANTE JUNTO À ANS;4;2000-07-21
322326;25335803000128;ASSOCIAÇÃO BENEFICENTE CATÓLICA;HOSPITAL SANTA ISABEL;Filantropia;RUA FREI CORNELIO;200;;LAURINDO DE CASTRO;Ubá;MG;36500000;32;35391034;;planosaude@santaisabelsaude.com.br;FABIANO DOS SANTOS;PRESIDENTE;3;1998-12-29
304131;02030246000131;ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15);SAÚDE ABAS;Autogestão;RUA BARÃO DE JAGUARA;707;10º ANDAR / SALAS 101/104 - BLOCO MOZART;CENTRO;Campinas;SP;13015926;19;37335060;;falecom@abas15.org.br;EINSTEIN ROMERO DURÃES;REPRESENTANTE LEGAL;1;1998-12-22
382540;31240963000196;ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;APPAI;Medicina de Grupo;RUA SENADOR DANTAS;117;SLJ 211,212,213;CENTRO;Rio de Janeiro;RJ;20034900;21;31473242;25320563;appai@appai.org.br;JULIO CESAR DA COSTA;DIRETOR PRESIDENTE;4;1999-01-19
417947;10935483000170;ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO;SANTA CASA SAÚDE DE RIBEIRÃO PRETO;Medicina de Grupo;AVENIDA MEIRA JUNIOR;585;;CAMPOS ELISEOS;Ribeirão Preto;SP;14085230;;;;regulacao@santacasasauderp.com.br;FERNANDO DE TORO DIAZ;PRESIDENTE DO CONSELHO DE ADMINISTRAÇÃO;5;2011-03-31
417955;07945024000162;ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ;JUDICEMED;Autogestão;RUA ALBERTO FOLLONI;543;;AHÚ;Curitiba;PR;80540000;41;30171600;30171601;JUDICEMED@JUDICEMED.COM.BR;MARCEL FERREIRA DOS SANTOS;REPRESENTANTE LEGAL;3;2011-03-31
416690;07781345000179;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS;AMAGIS SAÚDE;Autogestão;RUA ALBITA;194;6º ANDAR;BAIRRO CRUZEIRO;Belo Horizonte;MG;30310160;31;30793479;32233683;saude@amagis.com.br;FLÁVIA BIRCHAL DE MOURA;Vice-Presidente de Saúde;3;2008-06-30
416568;08202035000115;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA;COPASS SAÚDE;Autogestão;RUA CARANGOLA;531;;SANTO ANTôNIO;Belo Horizonte;MG;30330240;31;32985820;32985801;copass@copass-saude.com.br;OMAR DE CARVALHO GOMES FILHO;REPRESENTANTE E SUPER EXECUTIV;4;2008-02-18
314218;60975174000100;ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;;Filantropia;RUA AMÉRICO VENTURA;123;;ALTO DA MOOCA;São Paulo;SP;03128010;11;20297200;;saocristovao@saocristovao.com.br;VALDIR PEREIRA VENTURA;PRESIDENTE CONS. DELIBERATIVO;4;1998-12-21
422321;35657268000185;ASSOCIAÇÃO DE SAÚDE DO VALE;LEVMED SAÚDE;Medicina de Grupo;RUA EPITÁCIO PESSOA;651;;CENTRO;Jaraguá do Sul;SC;89251100;47;35124100;;contato@levmed.com.br;CARLOS CESAR FELIPONI;DIRETOR EXECUTIVO;5;2020-07-14
418731;15022430000181;ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO;HFC SAÚDE;Medicina de Grupo;RUA RAFAEL ALOISI;51;;VILA REZENDE;Piracicaba;SP;13405205;;;;lilian.pedro@hfcp.com.br;JOSÉ CORAL;DIRETOR SUPERINTENDENTE;5;2013-01-11
417530;11939445000158;ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA;SAÚDE BENEFICÊNCIA;Medicina de Grupo;RUA TIRADENTES;293;CJ 51 A 54 - LOTE 5A;VILA ITAPURA;Campinas;SP;13023190;19;35001500;;diretoria@saudebeneficencia.com.br;ARLY DE LARA ROMÊO;REPRESENTANTE;5;2010-09-02
393533;12317012000123;ASSOCIAÇÃO DO FISCO DE ALAGOAS;;Autogestão;RUA ARTUR VITAL DA SILVA;58;;GRUTA DE LOURDES;Maceió;AL;57052260;82;33383494;33381846;clebia.presidencia@asfal.com.br;GUSTAVO DE ALBUQUERQUE CALHEIROS;DIRETOR PRESIDENTE;6;1998-12-28
420000;15713057000105;ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL;PLANSUL;Medicina de Grupo;RUA SANTA CRUZ;s/n;HOSPITAL MANOEL NOVAIS;BAIRRO DE FÁTIMA;Itabuna;BA;45603305;73;32143800;;PLANSUL@PLANSUL.net;CELSO ROBERTO DOS SANTOS;GESTOR;5;2015-12-15
387185;34011288000111;ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO;AFRERJ;Autogestão;RUA SETE DE SETEMBRO;55;25 º ANDAR;CENTRO;Rio de Janeiro;RJ;20050004;21;35345555;22525756;amafrerj@afrerj.org.br;ALOISIO DA CUNHA TAVARES;DIRETOR PRESIDENTE;4;1998-12-16
330281;09306242000182;ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP;AFRAFEP - SAUDE;Autogestão;Rua Corálio Soares de Oliveira;497;;Centro;João Pessoa;PB;58013260;83;30485640;;admin@afrafepsaude.com.br;QUINTILIANO BEZERRA LIMA;PRESIDENTE;3;1998-12-22
384704;13170410000122;ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC;ASSEC;Autogestão;AV. ADÉLIA FRANCO;3035;;DIA;Aracaju;SE;49048010;;;;ans@assecsaude.com.br;VALDILENE OLIVEIRA MARTINS;PRESIDENTE;3;1998-12-30
382639;92911056000116;ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;AFISVEC - SAÚDE;Autogestão;RUA URUGUAI;155;CONJ.1010;CENTRO;Porto Alegre;RS;90010140;51;32244922;32244922;saude@afisvec.org.br;EDUARDO JAEGER;PRESIDENTE;3;1998-12-28
306754;00299149000113;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;AFFEGO-SAÚDE;Autogestão;RUA 83;218;QUADRA F-15, LOTE 26;SETOR SUL;Goiânia;GO;74083020;62;32185051;;walima@affego.com.br;HUGO MARIA D¿ASSUNÇÃO;REPRESENTANTE;3;1998-12-23
388092;04503249000170;ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM;AFFEAM SAÚDE;Autogestão;RUA FRANCO DE SÁ;430;;SÃO FRANCISCO;Manaus;AM;69079210;92;36634380;36113013;affeamsaude@affeam.com.br;ELIEZER BATISTA DE AQUINO;PRESIDENTE;6;1998-12-31
335754;14799035000147;ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA;ASFEB;Autogestão;RUA DR. JOSÉ PEROBA;149;EDF ELDORADO 1º ANDAR SL: 101/102 e 902;STIEP;Salvador;BA;41770235;71;22012205;33417182;coordennacaomedica@asfeb.org.br;CLEUDES CERQUEIRA DE FREITAS;DIRETOR PRESIDENTE;3;1998-12-23
309028;29167970000168;ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO;ASSIST;Medicina de Grupo;RUA SENADOR DANTAS;117;SLJ 201, 206 A 209 SALAS 208, 301, 302 3;CENTRO;Rio de Janeiro;RJ;20010000;21;21425149;;assist@assist.org.br;GERALDO DA COSTA LEITE;DIRETOR PRESIDENTE;4;1999-01-19
419591;20160828000114;ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ;ASPARÁ;Autogestão;TV. PADRE EUTIQUIO ;1379;EDIFICIO CASA KOLY, 4º ANDAR, CONJUNTOS ;BATISTA CAMPOS;Belém;PA;66035045;91;31080263;;aspara@aspara.org.br;GERALDO HENRIQUE DE OLIVEIRA NOGUEIRA;PRESIDENTE;5;2014-10-21
342556;87547444000120;ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI;PLANO DE SAÚDE TACCHIMED;Filantropia;RUA JOSÉ MÁRIO MONACO;358;;CENTRO;Bento Gonçalves;RS;95700068;54;34554333;34554333;nucleojr@tacchini.com.br;HILTON ROESE MANCIO;SUPERINTENDENTE;5;1998-12-22
326755;78613841000161;ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA;PLANO DE SAUDE HOSPITALAR;Filantropia;AV. BANDEIRANTES;618;;JD. LONDRILAR;Londrina;PR;86015900;43;33781000;;planohospitalar2@planohospitalar.org.br;LINCOLN VIEIRA MAGALHÃES;REPRESENTANTE LEGAL;5;1998-12-22
422053;33922160000147;ASSOCIAÇÃO FCA SAÚDE;STELLANTIS SAUDE PE/PB;Autogestão;AV CONTORNO;3455;GALPAO 8, SALA 36, PARTE A;DISTRITO INDUSTRIAL PAULO CAMI;Betim;MG;32669900;31;34023812;;juridicostellantissaude@stellantis.com;CRISTIANE DE OLIVEIRA ROQUE PAIXÃO;Diretora;5;2019-12-03
416584;08883265000197;ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE;FUPS;Autogestão;RUA FIORAVANTE JOÃO FERRI;99;;JARDIM ALVORADA;Campo Mourão;PR;87308445;;;;fups@fups.com.br;MAYARA DE OLIVERA RODRIGUES;REPRESENTANTE;4;2008-03-07
402206;02220135000198;ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO;AGMP;Autogestão;RUA T-29;1758;;SETOR BUENO;Goiânia;GO;74215050;62;32856660;;administracao@samp.org.br;VALÉRIA CRISTINA DE PAULA MAGALHÃES;DIRETORA GERAL;3;1999-03-17
421618;30724638000136;ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL;HOSPITAL SAÚDE;Medicina de Grupo;Praça Nossa Senhora Aparecida;61;Sala 01;Nossa Senhora Aparecida;Vargem Grande do Sul;SP;13880000;19;36419300;;associacaohsvgsul@gmail.com;JOSÉ GERALDO RAMAZOTTI;PRESIDENTE;6;2019-04-08
419150;15323270000100;ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA;MAIS SAÚDE SANTA CASA;Medicina de Grupo;RUA SÃO LUCAS;21;Andar 1 e 2;PERPÉTUO SOCORRO;São João da Boa Vista;SP;13870529;19;36344440;;presidencia@maissaudesantacasa.com.br;VERA LUCIA SASSARON PANDINI;PRESIDENTE;6;2013-10-22
417211;11177786000133;ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO;AMMP SAÚDE;Autogestão;RUA TIMBIRAS;2928;3º ANDAR;BARRO PRETO;Belo Horizonte;MG;30140062;31;21054878;25326391;saude@ammpsaude.org.br;FRANCISCO CHAVES GENEROSO;DIRETOR DE SAÚDE;3;2010-04-09
420158;23869306000184;ASSOCIAÇÃO PADRE ALBINO SAÚDE;PADRE ALBINO SAUDE;Medicina de Grupo;RUA BELEM;423;;CENTRO;Catanduva;SP;15800280;17;33113716;;ADMINISTRACAO@PADREALBINOSAUDE.COM.BR;VANIA REGINA CATOIA GARCIA;DIRETORA EXECUTIVA;5;2016-07-06
420816;25141173000150;ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE;PADRE PIO PLANOS DE SAÚDE;Medicina de Grupo;Rua José Antunes Azevedo Filho;70;;Jardim Nova Itália;Limeira;SP;13484401;19;34467700;;plano.pe.pio@humanitaria.com.br;CESAR LUIS DERMONDE;Diretor Presidente;6;2017-06-09
418617;12049486000131;ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ;PROMED;Autogestão;RUA MATEUS LEME;2018;2º ANDAR;CENTRO CÍVICO;Curitiba;PR;80530010;41;33522855;33522855;superintendencia@promedpr.org.br;FERNANDO DA SILVA MATTOS;PRESIDENTE;3;2012-10-08
422631;39427632000171;ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS;;Autogestão;Avenida República do Chile;65;Sala 302;Centro;Rio de Janeiro;RJ;20031170;;;;carolina.lucas@saudepetrobras.com.br;CAROLINA SALGADO LUCAS;GERENTE REGULATÓRIO E PRODUTOS;1;2021-01-28
