CNPJ;RAZAOSOCIAL;TRIMESTRE;ANO;REGISTRO ANS;MODALIDADEE;UF;VALOR DESPESA
00147571000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;2;2025;406945;Autogestão;SP;30844462.68
00147571000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;3;2025;406945;Autogestão;SP;46665801.6
00172586000171;UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA;1;2025;336017;Cooperativa odontológica;SP;752488.51
00172586000171;UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA;2;2025;336017;Cooperativa odontológica;SP;1661171.83
00172586000171;UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA;3;2025;336017;Cooperativa odontológica;SP;2701471.95
00200720000109;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);1;2025;410608;Autogestão;SP;4177790.7600000002
00200720000109;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);2;2025;410608;Autogestão;SP;9169756.270000001
00200720000109;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);3;2025;410608;Autogestão;SP;14208352.799999999
00262338000111;UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO;1;2025;311944;Cooperativa Médica;SP;5945355.83
00262338000111;UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO;2;2025;311944;Cooperativa Médica;SP;11587611.56
00262338000111;UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO;3;2025;311944;Cooperativa Médica;SP;20643606.03
00299149000113;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;1;2025;306754;Autogestão;GO;11537123.85
00299149000113;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;2;2025;306754;Autogestão;GO;26395924.59
00299149000113;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;3;2025;306754;Autogestão;GO;39589571.75
00304148000110;FUNDAÇÃO DE SAÚDE ITAIGUAPY;1;2025;311359;Medicina de Grupo;PR;26292230.48
00304148000110;FUNDAÇÃO DE SAÚDE ITAIGUAPY;2;2025;311359;Medicina de Grupo;PR;56524549.05
00304148000110;FUNDAÇÃO DE SAÚDE ITAIGUAPY;3;2025;311359;Medicina de Grupo;PR;90958852.52
00307714000147;ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL;1;2025;412635;Autogestão;SP;6501086.47
00307714000147;ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL;2;2025;412635;Autogestão;SP;12578773.61
00307714000147;ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL;3;2025;412635;Autogestão;SP;15894300.26
00338763000147;PLENA SAÚDE S.A.;1;2025;348830;Medicina de Grupo;SP;54621736.72
00338763000147;PLENA SAÚDE S.A.;2;2025;348830;Medicina de Grupo;SP;114083893.47
00338763000147;PLENA SAÚDE S.A.;3;2025;348830;Medicina de Grupo;SP;170114426.39999998
00342481000113;UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO;1;2025;343765;Cooperativa Médica;GO;2248440.46
00342481000113;UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO;2;2025;343765;Cooperativa Médica;GO;4661820.11
00342481000113;UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO;3;2025;343765;Cooperativa Médica;GO;7226250.08
00361325000108;HUMANA SAÚDE NORDESTE LTDA. ;1;2025;357511;Medicina de Grupo;PI;251757863.25
00361325000108;HUMANA SAÚDE NORDESTE LTDA. ;2;2025;357511;Medicina de Grupo;PI;528902678.27000004
00361325000108;HUMANA SAÚDE NORDESTE LTDA. ;3;2025;357511;Medicina de Grupo;PI;808770193.52
00366982000130;CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO;1;2025;386596;Cooperativa Médica;GO;22262909.049999997
00366982000130;CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO;2;2025;386596;Cooperativa Médica;GO;42627399.7
00366982000130;CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO;3;2025;386596;Cooperativa Médica;GO;62847389.019999996
00368318000120;UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;1;2025;321087;Cooperativa Médica;RJ;10253910.59
00368318000120;UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;321087;Cooperativa Médica;RJ;22849066.07
00368318000120;UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;3;2025;321087;Cooperativa Médica;RJ;34700189.45
00381694000154;UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO;1;2025;372561;Cooperativa Médica;SC;20569981.61
00381694000154;UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO;2;2025;372561;Cooperativa Médica;SC;48391814.0
00381694000154;UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO;3;2025;372561;Cooperativa Médica;SC;71277751.86
00395266000180;MAIS SAÚDE PLANO DE SAÚDE LTDA;1;2025;415065;Medicina de Grupo;GO;11491463.64
00395266000180;MAIS SAÚDE PLANO DE SAÚDE LTDA;2;2025;415065;Medicina de Grupo;GO;24828471.11
00395266000180;MAIS SAÚDE PLANO DE SAÚDE LTDA;3;2025;415065;Medicina de Grupo;GO;39950266.879999995
00444803000135;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;1;2025;409413;Autogestão;SP;3595532.42
00444803000135;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;2;2025;409413;Autogestão;SP;7715386.92
00444803000135;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;3;2025;409413;Autogestão;SP;11516085.02
00453863000114;MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;1;2025;328537;Medicina de Grupo;SP;38638420.44
00453863000114;MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;2;2025;328537;Medicina de Grupo;SP;77367589.84
00453863000114;MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;3;2025;328537;Medicina de Grupo;SP;120897872.58
00461479000163;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;1;2025;302147;Medicina de Grupo;SP;1419199508.79
00461479000163;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;2;2025;302147;Medicina de Grupo;SP;2925216966.9
00461479000163;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;3;2025;302147;Medicina de Grupo;SP;4443568463.36
00494870000164;UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO;1;2025;365238;Cooperativa Médica;SP;8049984.14
00494870000164;UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO;2;2025;365238;Cooperativa Médica;SP;16580739.33
00494870000164;UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO;3;2025;365238;Cooperativa Médica;SP;24637117.2
00531736000196;UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA;1;2025;343056;Cooperativa odontológica;SP;523946.44
00531736000196;UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA;2;2025;343056;Cooperativa odontológica;SP;1127004.06
00531736000196;UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA;3;2025;343056;Cooperativa odontológica;SP;1729490.4
00532888000103;UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;1;2025;353698;Cooperativa Médica;RS;8036293.760000001
00532888000103;UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;2;2025;353698;Cooperativa Médica;RS;17285836.37
00532888000103;UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;3;2025;353698;Cooperativa Médica;RS;26800884.91
00552181000169;UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO;1;2025;328308;Cooperativa Médica;SP;3375033.71
00552181000169;UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO;2;2025;328308;Cooperativa Médica;SP;7836179.81
00552181000169;UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO;3;2025;328308;Cooperativa Médica;SP;12810552.37
00571628000147;DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;1;2025;314366;Odontologia de Grupo;SP;637848.79
00571628000147;DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;2;2025;314366;Odontologia de Grupo;SP;1317464.51
00571628000147;DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;3;2025;314366;Odontologia de Grupo;SP;2037128.29
00580481000151;FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV;2;2025;329665;Autogestão;ES;14855424.75
00580481000151;FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV;3;2025;329665;Autogestão;ES;29726950.2
00628107000189;FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;1;2025;346926;Autogestão;DF;401231187.73999995
00628107000189;FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;2;2025;346926;Autogestão;DF;748101331.1999999
00628107000189;FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;3;2025;346926;Autogestão;DF;1113379813.51
00636975000100;SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;1;2025;319180;Medicina de Grupo;SP;16793702.52
00636975000100;SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;2;2025;319180;Medicina de Grupo;SP;33904399.14
00636975000100;SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;3;2025;319180;Medicina de Grupo;SP;56625918.39
00642842000147;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA;1;2025;409405;Autogestão;SP;1395778.52
00642842000147;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA;2;2025;409405;Autogestão;SP;2410738.32
00642842000147;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA;3;2025;409405;Autogestão;SP;3741020.11
00648506000101;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU;1;2025;411248;Autogestão;SP;1598909.16
00648506000101;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU;2;2025;411248;Autogestão;SP;3252307.3800000004
00648506000101;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU;3;2025;411248;Autogestão;SP;4963627.4799999995
00660903000107;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;1;2025;315567;Autogestão;MG;47441678.66
00660903000107;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;2;2025;315567;Autogestão;MG;97829292.28
00660903000107;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;3;2025;315567;Autogestão;MG;145704417.5
00665690000106;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA;1;2025;408026;Autogestão;SP;1340194.54
00665690000106;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA;2;2025;408026;Autogestão;SP;3258456.5300000003
00665690000106;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA;3;2025;408026;Autogestão;SP;5117007.03
00668790000188;CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;1;2025;320820;Autogestão;RS;13274881.27
00668790000188;CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;2;2025;320820;Autogestão;RS;29843187.5
00668790000188;CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;3;2025;320820;Autogestão;RS;47421015.260000005
00697509000135;UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO;1;2025;347507;Cooperativa Médica;RO;31383264.67
00697509000135;UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO;2;2025;347507;Cooperativa Médica;RO;61193634.66
00697509000135;UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO;3;2025;347507;Cooperativa Médica;RO;90210260.23
00730439000170;UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO;1;2025;353876;Cooperativa Médica;MG;9164235.61
00730439000170;UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO;2;2025;353876;Cooperativa Médica;MG;17721504.85
00730439000170;UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO;3;2025;353876;Cooperativa Médica;MG;27315848.54
00747041000146;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;1;2025;302228;Cooperativa Médica;GO;5281733.7
00747041000146;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;2;2025;302228;Cooperativa Médica;GO;11171549.7
00747041000146;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;3;2025;302228;Cooperativa Médica;GO;17459535.77
00763923000103;UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO;1;2025;341819;Cooperativa Médica;MG;749489.23
00763923000103;UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO;2;2025;341819;Cooperativa Médica;MG;1427554.42
00763923000103;UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO;3;2025;341819;Cooperativa Médica;MG;2266685.2600000002
00773639000100;CENTRO CLÍNICO GAÚCHO LTDA;1;2025;392804;Medicina de Grupo;CE;108760358.0
00773639000100;CENTRO CLÍNICO GAÚCHO LTDA;2;2025;392804;Medicina de Grupo;CE;236650180.23
00773639000100;CENTRO CLÍNICO GAÚCHO LTDA;3;2025;392804;Medicina de Grupo;CE;361156383.61
00826676000139;UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA;2;2025;373109;Cooperativa odontológica;SP;1500051.8399999999
00826676000139;UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA;3;2025;373109;Cooperativa odontológica;SP;2356418.8200000003
00840048000108;UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO;1;2025;314242;Cooperativa Médica;SP;11226162.469999999
00840048000108;UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO;2;2025;314242;Cooperativa Médica;SP;26072501.65
00840048000108;UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO;3;2025;314242;Cooperativa Médica;SP;40555221.65
00841848000143;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS;1;2025;423203;Autogestão;SP;1887134.85
00841848000143;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS;2;2025;423203;Autogestão;SP;2133752.23
00841848000143;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS;3;2025;423203;Autogestão;SP;3505315.48
00846662000187;LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;1;2025;379280;Medicina de Grupo;SP;53638059.1
00846662000187;LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;2;2025;379280;Medicina de Grupo;SP;111941652.62
00846662000187;LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;3;2025;379280;Medicina de Grupo;SP;172657281.54999998
00856424000152;CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.;1;2025;389358;Odontologia de Grupo;SP;3460527.4400000004
00856424000152;CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.;2;2025;389358;Odontologia de Grupo;SP;7097064.77
00856424000152;CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.;3;2025;389358;Odontologia de Grupo;SP;17505063.15
00885918000165;HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA;1;2025;416398;Medicina de Grupo;PI;16536998.97
00885918000165;HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA;2;2025;416398;Medicina de Grupo;PI;33669484.96
00885918000165;HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA;3;2025;416398;Medicina de Grupo;PI;52724614.06
00891689000191;UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS;1;2025;358436;Cooperativa odontológica;GO;1338596.92
00891689000191;UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS;2;2025;358436;Cooperativa odontológica;GO;2808930.7199999997
00891689000191;UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS;3;2025;358436;Cooperativa odontológica;GO;4272772.600000001
00946953000147;UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;1;2025;337498;Cooperativa Médica;RJ;14195638.360000001
00946953000147;UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;2;2025;337498;Cooperativa Médica;RJ;27679264.18
00946953000147;UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;3;2025;337498;Cooperativa Médica;RJ;43054501.38
00950062000164;CENTRO HOSPITALAR ATIBAIA LTDA.;1;2025;350699;Medicina de Grupo;SP;25869335.459999997
00950062000164;CENTRO HOSPITALAR ATIBAIA LTDA.;2;2025;350699;Medicina de Grupo;SP;60808956.35
00950062000164;CENTRO HOSPITALAR ATIBAIA LTDA.;3;2025;350699;Medicina de Grupo;SP;92964505.96000001
01012474000116;UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA;1;2025;343722;Cooperativa Médica;MG;3837682.65
01012474000116;UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA;2;2025;343722;Cooperativa Médica;MG;7772444.66
01012474000116;UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA;3;2025;343722;Cooperativa Médica;MG;12865493.05
01052203000194;CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;1;2025;347825;Autogestão;RJ;3311714.4699999997
01052203000194;CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;2;2025;347825;Autogestão;RJ;6504454.81
01052203000194;CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;3;2025;347825;Autogestão;RJ;9845565.08
01143922000110;UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO ;1;2025;350346;Cooperativa Médica;MT;6148140.08
01143922000110;UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO ;2;2025;350346;Cooperativa Médica;MT;11788924.629999999
01143922000110;UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO ;3;2025;350346;Cooperativa Médica;MT;17908905.400000002
01193663000132;UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO;1;2025;324566;Cooperativa Médica;GO;20859316.3
01193663000132;UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO;2;2025;324566;Cooperativa Médica;GO;43357872.25
01193663000132;UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO;3;2025;324566;Cooperativa Médica;GO;65968039.57
01356020000162;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;1;2025;301744;Cooperativa Médica;SC;28002642.61
01356020000162;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;2;2025;301744;Cooperativa Médica;SC;55780957.21
01356020000162;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;3;2025;301744;Cooperativa Médica;SC;85591303.12
01367538000100;UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA;1;2025;381144;Cooperativa odontológica;PR;1097529.88
01367538000100;UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA;2;2025;381144;Cooperativa odontológica;PR;2277234.14
01367538000100;UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA;3;2025;381144;Cooperativa odontológica;PR;3603464.47
01371135000126;UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA;1;2025;311057;Cooperativa Médica;MG;8024546.83
01371135000126;UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA;2;2025;311057;Cooperativa Médica;MG;16074310.56
01371135000126;UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA;3;2025;311057;Cooperativa Médica;MG;25278202.26
01387625000110;DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;1;2025;349682;Medicina de Grupo;RS;83202389.74
01387625000110;DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;2;2025;349682;Medicina de Grupo;RS;185931755.89999998
01387625000110;DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;3;2025;349682;Medicina de Grupo;RS;292889315.71
01402285000150;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;1;2025;300730;Odontologia de Grupo;PB;408870.49
01402285000150;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;2;2025;300730;Odontologia de Grupo;PB;830331.43
01402285000150;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;3;2025;300730;Odontologia de Grupo;PB;1244327.63
01445199000124;UNIHOSP SAÚDE LTDA;1;2025;385255;Medicina de Grupo;SP;39284890.269999996
01445199000124;UNIHOSP SAÚDE LTDA;2;2025;385255;Medicina de Grupo;SP;79618682.45
01445199000124;UNIHOSP SAÚDE LTDA;3;2025;385255;Medicina de Grupo;SP;122230213.53999999
01476619000130;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;1;2025;301124;Cooperativa Médica;TO;11319411.85
01476619000130;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;2;2025;301124;Cooperativa Médica;TO;22992845.6
01476619000130;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;3;2025;301124;Cooperativa Médica;TO;34550264.31
01554266000149;UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO;1;2025;348244;Cooperativa Médica;SC;39167547.49
01554266000149;UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO;2;2025;348244;Cooperativa Médica;SC;58359771.73
01554266000149;UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO;3;2025;348244;Cooperativa Médica;SC;78968988.5
01559455000104;UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;1;2025;328294;Cooperativa Médica;SP;43899461.89
01559455000104;UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;2;2025;328294;Cooperativa Médica;SP;91022990.99
01559455000104;UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;3;2025;328294;Cooperativa Médica;SP;139239907.16
01569902000106;UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO;1;2025;346951;Cooperativa Médica;SC;9934714.17
01569902000106;UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO;2;2025;346951;Cooperativa Médica;SC;20683245.87
01569902000106;UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO;3;2025;346951;Cooperativa Médica;SC;32717591.97
01608379000180;UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;1;2025;357138;Cooperativa Médica;SP;56750672.89
01608379000180;UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;2;2025;357138;Cooperativa Médica;SP;119720635.05
01608379000180;UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;3;2025;357138;Cooperativa Médica;SP;182506517.55
01647867000104;UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS;1;2025;320838;Cooperativa Médica;MG;12516068.229999999
